呗	78980
花	48604
借	24567
的	22018
我	21101
*	17555
了	17342
，	17074
吗	15513
怎么	12656
还	12199
还款	11895
蚂蚁	10710
可以	10490
为什么	9169
额度	8111
分期	6403
用	6351
是	6323
开通	6294
不能	4695
钱	4653
能	4502
不	4253
没有	4225
什么	4019
有	4016
使用	3968
在	3692
支付宝	3142
用花	3128
不了	3090
付款	2799
支付	2794
月	2716
多少	2629
逾期	2538
到	2454
提前	2351
会	2337
显示	2296
现在	2190
退款	1992
后	1978
收款	1956
银行卡	1952
申请	1949
自动	1906
没	1902
余额	1898
时候	1887
关闭	1741
如何	1731
和	1721
要	1717
这个	1653
么	1641
已经	1625
怎么办	1536
账单	1455
买	1426
一个	1424
淘宝	1420
都	1414
临时	1409
还清	1369
影响	1340
想	1285
上	1271
我花	1257
账号	1252
还是	1250
利息	1213
就	1212
号	1184
绑定	1146
取消	1092
信用卡	1090
支持	1069
把	1061
里	1057
手续费	1054
信用	1037
给	1008
怎样	986
扣款	986
但是	973
商家	960
收钱	948
日	943
恢复	928
个	918
需要	904
码	888
网商贷	882
最低	878
东西	877
完	872
扣	861
是不是	859
哪里	851
手机	847
分	842
账户	826
多久	820
消费	811
也	807
冻结	807
才能	800
手机号	780
账	776
还有	745
只能	744
我用	736
宝	728
。	722
借款	716
一次	708
金额	705
款	695
今天	695
退	692
之前	683
提升	676
里面	670
被	670
不用	663
嘛	661
多	660
还花	659
设置	644
才	640
已	639
换	625
再	617
不是	617
意思	613
说	604
帮	604
另	593
？	592
提额	585
无法	585
分期付款	581
如果	581
记录	565
从	560
提示	556
还要	553
成功	549
话费	547
一天	542
不到	536
付	531
算	528
以前	520
去	520
元	516
时间	514
开	508
怎么回事	507
期	506
为啥	492
找	489
又	488
日期	484
未	480
身份证	480
号码	473
不会	471
通过	468
交	466
退回	465
之后	450
呀	448
以后	446
下个月	444
积分	435
电费	419
下	413
充值	413
怎么样	412
一样	412
条件	408
哪	408
吧	407
一直	391
芝麻	391
对	389
限制	385
免息	382
红包	382
每月	380
是否	380
密码	380
看	380
借钱	380
只有	372
让	372
每个	367
那	367
我要	363
购物	359
一个月	359
降低	355
短信	354
到期	352
一下	349
押金	349
二维码	345
手机号码	344
收	342
你	338
然后	335
商品	334
过	331
查询	327
这	327
没到	326
为何	324
授权	324
提醒	323
但	322
查看	321
就是	318
自己	318
限额	317
更改	316
修改	315
可	314
改	311
交易	308
知道	308
一次性	301
重新	300
可是	300
为	299
登录	299
刷	297
两个	294
别人	291
功能	290
扣钱	290
充	288
系统	288
跟	288
方式	284
不想	284
几号	284
点	281
信息	281
删除	280
提现	276
过期	271
不够	271
主动	270
几天	269
结清	269
可不可以	269
时	265
提高	262
直接	261
有没有	261
来	259
评估	258
可用	256
脸	256
与	253
朋友	252
购买	249
当天	248
网商	247
看到	244
银行	243
提	243
收到	243
审核	243
卡	242
能用	238
订单	237
关	237
！	237
更换	236
费用	235
全部	235
安全	233
验证	232
验证码	229
贷款	228
操作	227
选择	227
那么	227
注销	225
还款额	224
单车	222
最高	219
调整	217
火车票	216
